fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2017-02-28,2017-04-05,1.09,0.8586,0.2314,26.9509
2017-05-31,2017-06-29,1.03,0.8163,0.2137,26.1791
2017-08-31,2017-10-27,0.86,0.8067,0.0533,6.6072
2017-11-30,2018-01-05,0.9,0.93,-0.03,-3.2258
2018-02-28,2018-04-06,1.02,0.9738,0.0462,4.7443
2018-05-31,2018-06-29,1.3,1.1475,0.1525,13.2898
2018-08-31,2018-10-26,0.8,1.0311,-0.2311,-22.413
2018-11-30,2019-01-09,0.54,0.4957,0.0443,8.9369
2019-02-28,2019-04-05,0.22,0.2188,0.0012,0.5484
2019-05-31,2019-07-02,0.89,0.9488,-0.0588,-6.1973
2019-08-31,2019-10-25,1.31,1.3843,-0.0743,-5.3673
2019-11-30,2020-01-08,0.3,0.4333,-0.1333,-30.7639
2020-02-29,2020-04-07,0.46,0.2633,0.1967,74.7057
2020-05-31,2020-07-10,1.05,0.1367,0.9133,668.1053
2020-08-31,2020-10-23,0.16,0.3033,-0.1433,-47.247
2020-11-30,2021-01-06,-0.3,-0.104,-0.196,-188.4615
2021-02-28,2021-04-06,-0.28,-0.3683,0.0883,23.975
2021-05-31,2021-07-09,0.59,0.1333,0.4567,342.6107
