Date,Open,High,Low,Close,Volume
2019-11-11,6.05,6.09,5.77,6.02,3125772.0
2019-11-12,6.03,6.07,5.87,5.92,1844879.0
2019-11-13,5.91,5.97,5.81,5.94,1544839.0
2019-11-14,5.95,6.11,5.9,5.98,1718721.0
2019-11-15,6,6.01,5.85,5.88,2195810.0
2019-11-18,5.85,5.85,5.61,5.62,3010038.0
2019-11-19,5.57,5.66,5.45,5.5,3382952.0
2019-11-20,5.54,5.54,5.3601,5.46,2679238.0
2019-11-21,5.46,5.58,5.35,5.5,2796477.0
2019-11-22,5.59,5.85,5.5,5.66,3511726.0
2019-11-25,5.67,6.06,5.63,6.03,2758079.0
2019-11-26,6.03,6.26,6.01,6.1,2668950.0
2019-11-27,6.1,6.39,6.02,6.35,3043849.0
2019-11-29,6.33,6.39,6.235,6.34,1380503.0
2019-12-02,6.35,6.46,6.09,6.17,2076357.0
2019-12-03,6.04,6.18,5.93,6.12,2235200.0
2019-12-04,6.17,6.49,6.12,6.43,2891244.0
2019-12-05,6.32,6.52,6.235,6.4,4413771.0
2019-12-06,6.39,6.68,6.39,6.68,4770400.0
2019-12-09,6.65,6.92,6.19,6.33,6382177.0
2019-12-10,6.29,6.54,6.12,6.51,9734487.0
2019-12-11,5.25,5.81,5.18,5.53,19826441.0
2019-12-12,5.46,5.7096,5.41,5.58,6425426.0
2019-12-13,5.47,5.62,5.235,5.45,5500593.0
2019-12-16,5.39,5.59,5.39,5.5,4458264.0
2019-12-17,5.5,6.08,5.49,6.06,4164480.0
2019-12-18,6.06,6.27,5.93,6.16,5295864.0
2019-12-19,6.21,6.24,6.025,6.06,4470969.0
2019-12-20,6.06,6.22,5.96,5.99,5616099.0
2019-12-23,6.05,6.07,5.54,5.61,6317839.0
2019-12-24,5.65,5.67,5.44,5.44,3418325.0
2019-12-26,5.47,5.51,5.245,5.4,4288115.0
2019-12-27,5.42,5.98,5.39,5.9,11054152.0
2019-12-30,5.88,6.245,5.76,6.13,4513620.0
2019-12-31,6.08,6.39,5.99,6.08,4352140.0
2020-01-02,6.14,6.47,6.07,6.31,4460620.0
2020-01-03,6.21,6.25,5.835,5.88,3576303.0
2020-01-06,5.8,5.91,5.6,5.85,3431860.0
2020-01-07,5.77,5.8282,5.44,5.52,5275673.0
2020-01-08,5.49,5.85,5.41,5.72,5657224.0
2020-01-09,5.82,5.82,5.48,5.55,2664105.0
2020-01-10,5.56,5.6,5.38,5.43,2806363.0
2020-01-13,5.43,5.61,5.33,5.43,3664471.0
2020-01-14,4.78,5,4.53,4.71,12706703.0
2020-01-15,4.66,4.73,4.55,4.61,5028820.0
2020-01-16,4.61,4.71,4.52,4.62,4322371.0
2020-01-17,4.58,4.75,4.51,4.75,4092223.0
2020-01-21,4.75,4.75,4.55,4.59,3574828.0
2020-01-22,4.55,4.64,4.46,4.56,2658420.0
2020-01-23,4.55,4.64,4.46,4.62,1896509.0
2020-01-24,4.64,4.64,4.25,4.32,4178119.0
2020-01-27,4.2,4.35,4.16,4.28,2154389.0
2020-01-28,4.3,4.3,4.18,4.21,2176560.0
2020-01-29,4.22,4.315,4.13,4.13,1567072.0
2020-01-30,4.1,4.12,3.88,3.93,3042125.0
2020-01-31,3.91,3.94,3.83,3.84,2914223.0
2020-02-03,3.88,3.98,3.85,3.95,2050352.0
2020-02-04,4.03,4.25,3.97,4.07,3580819.0
2020-02-05,4.15,4.41,4.14,4.18,2664399.0
2020-02-06,4.2,4.3,4.135,4.14,1530060.0
2020-02-07,4.11,4.13,3.77,3.81,2763512.0
2020-02-10,3.85,4.1,3.74,3.94,2827569.0
2020-02-11,3.98,4.24,3.95,4.02,3430872.0
2020-02-12,4.13,4.51,4.07,4.19,4857817.0
2020-02-13,4.12,4.26,4.07,4.11,2117842.0
2020-02-14,4.11,4.19,4.02,4.02,1609790.0
2020-02-18,4.01,4.08,3.96,4.06,1500687.0
2020-02-19,4.06,4.27,3.915,4.15,2610258.0
